year,weight,mirex,species
1977,0.41,0.16,chinook
1977,0.45,0.19,chinook
1977,1.04,0.19,chinook
1977,1.09,0.1,coho
1977,1.24,0.13,chinook
1977,1.25,0.19,chinook
1977,1.3,0.28,chinook
1977,1.34,0.16,coho
1977,1.37,0.17,coho
1977,1.49,0.2,coho
1977,1.67,0.07,coho
1977,1.78,0.09,coho
1977,2.81,0.28,chinook
1977,3.29,0.23,coho
1977,4.07,0.31,coho
1977,4.3,0.23,chinook
1977,4.77,0.22,coho
1977,5.09,0.19,coho
1977,5.36,0.29,coho
1977,5.4,0.27,coho
1977,5.92,0.3,chinook
1977,6.31,0.34,chinook
1977,7.39,0.41,chinook
1977,7.75,0.34,chinook
1982,0.46,0.1,coho
1982,0.63,0.09,coho
1982,0.7,0.1,coho
1982,0.91,0.03,chinook
1982,1.45,0.08,chinook
1982,1.53,0.15,chinook
1982,1.59,0.05,chinook
1982,1.68,0.22,coho
1982,2.35,0.23,chinook
1982,2.71,0.12,chinook
1982,2.92,0.22,chinook
1982,3.41,0.19,coho
1982,3.59,0.14,chinook
1982,3.81,0.1,coho
1982,4.11,0.26,coho
1982,4.21,0.19,coho
1982,5.09,0.27,coho
1982,5.54,0.32,chinook
1982,5.61,0.21,coho
1982,5.67,0.19,coho
1982,5.81,0.15,coho
1982,6.72,0.27,chinook
1982,7.43,0.35,chinook
1982,10.58,0.32,chinook
1986,0.34,0.02,coho
1986,0.34,0.12,coho
1986,0.68,0.03,coho
1986,1.7,0.12,coho
1986,1.82,0.07,chinook
1986,1.82,0.12,chinook
1986,2.04,0.1,chinook
1986,2.04,0.2,chinook
1986,2.27,0.13,coho
1986,2.84,0.2,coho
1986,3.18,0.32,coho
1986,3.4,0.12,coho
1986,3.86,0.2,coho
1986,4.09,0.22,coho
1986,4.54,0.2,coho
1986,5.22,0.18,chinook
1986,5.33,0.23,coho
1986,6.7,0.18,chinook
1986,6.81,0.22,chinook
1986,8.4,0.13,chinook
1986,9.08,0.31,chinook
1986,9.53,0.41,chinook
1986,9.76,0.4,chinook
1986,11.12,0.34,chinook
1992,1.9,0.1,coho
1992,2,0.09,coho
1992,2.4,0.12,chinook
1992,2.6,0.15,coho
1992,7.5,0.13,chinook
1992,7.9,0.18,coho
1992,8.6,0.34,coho
1992,9.1,0.27,chinook
1992,10,0.48,chinook
1992,10.3,0.25,chinook
1992,10.8,0.45,chinook
1992,12.3,0.28,chinook
1996,0.56,0.06,coho
1996,0.8,0.07,coho
1996,0.9,0.07,coho
1996,1.7,0.1,chinook
1996,1.75,0.09,chinook
1996,2.1,0.1,chinook
1996,2.3,0.15,chinook
1996,2.4,0.17,coho
1996,2.5,0.17,coho
1996,2.8,0.09,coho
1996,5.7,0.16,coho
1996,5.7,0.25,coho
1996,6.4,0.18,chinook
1996,9.1,0.29,chinook
1996,11.1,0.18,chinook
1996,12.3,0.24,chinook
1996,12.4,0.24,chinook
1996,12.5,0.25,chinook
1996,14,0.21,chinook
1999,1.36,0.03,coho
1999,2.61,0.03,coho
1999,2.61,0.04,coho
1999,4.54,0.14,chinook
1999,5.11,0.11,coho
1999,5.45,0.12,coho
1999,7.16,0.03,coho
1999,7.61,0.07,chinook
1999,8.07,0.02,chinook
1999,8.07,0.07,chinook
1999,8.07,0.07,chinook
1999,8.07,0.08,chinook
1999,8.64,0.26,chinook
1999,8.9,0.03,chinook
1999,8.98,0.07,chinook
1999,9.54,0.05,chinook
1999,9.54,0.11,chinook
1999,11.36,0.09,chinook
1999,11.82,0.09,chinook
