species,group,substock.in,stock.in,quality.in,preferred.in,memorable.in,trophy.in,substock.cm,stock.cm,quality.cm,preferred.cm,memorable.cm,trophy.cm,source
Arctic Grayling,NA,0,8,12,16,20,22,0,20,30,40,50,55,Hyatt (2000)
Bighead Carp,NA,0,11.75,21.25,26.75,35,43.75,0,30,54,68,89,111,Phelps and Willis (2013)
Bigmouth Buffalo,NA,0,11,18,24,30,37,0,28,46,61,76,94,Bister et al. (2000)
Black Bullhead,NA,0,6,9,12,15,18,0,15,23,30,39,46,Gabelhouse (1984a)
Black Carp,NA,0,15.75,28.25,35.5,46.5,58.25,0,40,72,90,118,148,Phelps and Willis (2013)
Black Crappie,NA,0,5,8,10,12,15,0,13,20,25,30,38,Gabelhouse (1984a)
Blue Catfish,NA,0,12,20,30,35,45,0,30,51,76,89,114,Gabelhouse (1984a)
Bluegill,NA,0,3,6,8,10,12,0,8,15,20,25,30,Gabelhouse (1984a)
Brook Trout,overall,0,8,12,16,20,24,0,20,30,40,50,60,Hyatt (2000)
Brook Trout,lentic,0,8,13,NA,NA,NA,0,20,33,NA,NA,NA,Anderson (1980)
Brook Trout,lotic,0,5,8,NA,NA,NA,0,13,20,NA,NA,NA,Anderson (1980)
Brown Bullhead,NA,0,5,8,11,14,17,0,13,20,28,36,43,Bister et al. (2000)
Brown Trout,lentic,0,8,12,16,20,24,0,20,30,40,50,60,Hyatt and Hubert (2001)
Brown Trout,lotic,0,6,9,12,15,18,0,15,23,30,38,46,Milewski and Brown (1994)
Bull Trout,NA,0,8,16,20,26,31,0,20,40,50,65,80,Hyatt (2000)
Burbot,NA,0,8,15,21,26,32,0,20,38,53,67,82,Fisher et al. (1996)
Chain Pickerel,NA,0,10,15,20,25,30,0,25,38,51,63,76,Gabelhouse (1984a)
Channel Catfish,NA,0,11,16,24,28,36,0,28,41,61,71,91,Gabelhouse (1984a)
Chinook Salmon,landlocked,0,11,18,24,30,37,0,28,46,61,76,94,Hill and Duffy (1993)
Common Carp,NA,0,11,16,21,26,33,0,28,41,53,66,84,Gabelhouse (1984a)
Cutthroat Trout,NA,0,8,14,18,24,30,0,20,35,45,60,75,Kruse and Hubert (1997)
Flathead Catfish,NA,0,14,20,28,34,40,0,35,51,71,86,102,Quinn (1991)
Freshwater Drum,NA,0,8,12,15,20,25,0,20,30,38,51,63,Gabelhouse (1984a)
Gizzard Shad,NA,0,7,11,NA,NA,NA,0,18,28,NA,NA,NA,Anderson and Gutreuter (1983)
Golden Trout,NA,0,8,10,14,18,22,0,20,25,35,45,55,Hyatt (2000)
Goldeye,NA,0,5,7.75,10.25,13,15.75,0,13,20,26,33,40,Miller et al. (2023)
Grass Carp,NA,0,11.75,21.25,26.75,35,43.75,0,30,54,68,89,111,Phelps and Willis (2013)
Green Sunfish,NA,0,3,6,8,10,12,0,8,15,20,25,30,Gabelhouse (1984a)
Kokanee,NA,0,8,10,12,16,20,0,12,25,30,40,50,Hyatt (2000)
Lake Chubsucker,NA,0,4,7,10,11,14,0,11,18,24,28,35,Bonvechio and Bonvechio (2021)
Lake Trout,NA,0,12,20,26,31,39,0,30,50,65,80,100,Hubert et al. (1994)
Largemouth Bass,NA,0,8,12,15,20,25,0,20,30,38,51,63,Gabelhouse (1984a)
Longnose Gar,NA,0,16,27,36,45,55,0,41,69,91,114,140,Bister et al. (2000)
Muskellunge,NA,0,20,30,38,42,50,0,51,76,97,107,127,Gabelhouse (1984a)
Northern Pike,NA,0,14,21,28,34,44,0,35,53,71,86,112,Gabelhouse (1984a)
Northern Snakehead,NA,0,7.5,13,16.5,22,27.5,0,19,34,42,55,70,Kim et al. (2019)
Paddlefish,NA,0,16,26,33,41,51,0,41,66,84,104,130,Brown and Murphy (1993)
Pallid Sturgeon,NA,0,13,25,33,41,50,0,33,63,84,104,147,Shuman et al. (2006)
Palmetto Bass,revised,0,10,16,20,24,28,0,25,41,51,61,71,Dumont and Neely (2011)
Palmetto Bass,original,0,8,12,15,20,25,0,20,30,38,51,63,Gabelhouse (1984a)
Pumpkinseed,NA,0,3,6,8,10,12,0,8,15,20,25,30,Gabelhouse (1984a)
Rainbow Trout,NA,0,10,16,20,26,31,0,25,40,50,65,80,Simpkins and Hubert (1996)
Redbreast Sunfish,NA,0,3,5,7,8,10,0,8,13,18,20,25,Bonvechio et al. (2023)
Redear Sunfish,NA,0,4,7,9,11,13,0,10,18,23,28,33,Gabelhouse (1984a)
River Carpsucker,NA,0,7,11,14,18,22,0,18,28,36,46,56,Bister et al. (2000)
Rock Bass,NA,0,4,7,9,11,13,0,10,18,23,28,33,Gabelhouse (1984a)
Ruffe,NA,0,2.2,3.5,4.7,5.5,6.9,0,5.5,9,12,14,17.5,Ogle and Winfield (2009)
Sauger,NA,0,8,12,15,20,25,0,20,30,38,51,63,Gabelhouse (1984a)
Saugeye,NA,0,9,14,15,22,27,0,23,35,46,56,69,Gabelhouse (1984a)
Shoal Bass,NA,0,7.1,11,13.8,16.9,20.1,0,18,28,35,43,51,Bonvechio et al. (2019)
Shorthead Redhorse,NA,0,6,10,13,16,20,0,15,25,33,41,51,Bister et al. (2000)
Silver Carp,NA,0,10,17.75,22,29,36.5,0,25,45,56,74,93,Phelps and Willis (2013)
Smallmouth Bass,NA,0,7,11,14,17,20,0,18,28,35,43,51,Gabelhouse (1984a)
Smallmouth Buffalo ,NA,0,11,18,24,30,37,0,28,46,61,76,94,Bister et al. (2000)
Splake,NA,0,8,10,14,16,22,0,20,25,35,40,55,Hyatt (2000)
Spotted Bass,NA,0,7,11,14,17,20,0,18,28,35,43,51,Gabelhouse (1984a)
Spotted Gar,NA,0,12,19,25,31,39,0,30,48,64,79,99,Bister et al. (2000)
Spotted Sunfish,NA,0,2,4,5,6,7,0,5,10,13,15,18,Bonvechio et al. (2023)
Striped Bass,landlocked,0,12,20,30,35,45,0,30,51,76,89,114,Gabelhouse (1984a)
Striped Bass X White Bass,NA,0,10,16,20,24,28,0,25,41,51,61,71,Dumont and Neely (2011)
Suwannee Bass,NA,0,6,9.75,11.75,13.75,15.75,0,15,25,30,35,40,Bonvechio et al. (2010)
Utah Chub,NA,0,4,8,10,12,15,0,10,20,25,30,38,Black et al. (2021)
Walleye,NA,0,10,15,20,25,30,0,25,38,51,63,76,Gabelhouse (1984a)
Warmouth,NA,0,3,6,8,10,12,0,8,15,20,25,30,Gabelhouse (1984a)
White Bass,NA,0,6,9,12,15,18,0,15,23,30,38,46,Gabelhouse (1984a)
