species,lake,gear,yearcap,fish,agecap,lencap,anu1,anu2,anu3,anu4,anu5,anu6,anu7,anu8,anu9,anu10,anu11,anu12,radcap
SMB,WB,E,1988,5,1,71,1.90606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90606
SMB,WB,E,1988,3,1,64,1.87707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87707
SMB,WB,E,1988,2,1,57,1.09227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09736
SMB,WB,E,1988,4,1,68,1.31848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33108
SMB,WB,E,1988,6,1,72,1.59283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59283
SMB,WB,E,1988,7,1,80,1.91602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91602
SMB,WB,E,1989,50,1,55,1.05423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05423
SMB,WB,E,1990,482,1,75,1.51076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51076
SMB,WB,E,1990,768,1,75,1.57989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57989
SMB,WB,E,1990,428,1,71,1.48721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48721
SMB,WB,T,1988,10,1,106,1.20489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65743
SMB,WB,T,1988,2,1,57,1.35003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35003
SMB,WB,T,1988,3,1,64,1.52934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52934
SMB,WB,T,1988,9,1,107,0.99393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23671
SMB,WB,T,1988,8,1,102,1.63006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12379
SMB,WB,T,1988,11,1,108,1.66157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78155
SMB,WB,T,1988,5,1,71,1.79928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79928
SMB,WB,T,1988,12,1,142,1.58267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26538
SMB,WB,T,1988,13,1,165,2.53269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.86465
