tl,age
6.5,0
6.3,0
7.4,0
7.1,0
7.7,0
7.1,0
7.9,0
7.3,0
7.5,0
7.3,0
7.6,0
7.6,0
7,0
7.4,0
7.2,0
7.5,0
7,1
7.9,1
7.6,1
7.1,1
7.1,1
7.5,1
7.7,1
7.2,1
7.4,1
7.8,1
7.7,1
7.8,1
7.9,1
7.1,1
7.2,1
7.1,1
7.5,1
8,1
8,1
7.6,1
8,1
7,1
7.1,1
7.2,1
7.2,1
7.6,1
7.1,1
7.9,1
7.6,1
7,1
7.9,1
7.1,1
8.9,0
8.7,0
8.7,0
8.2,0
8.2,0
8.7,0
8.1,0
8.7,0
8.7,0
8.3,1
8.4,1
8.7,1
8.5,1
8.3,1
9,1
8.3,1
8.2,1
8.8,1
8.3,1
8.5,1
8.6,1
8.9,1
8.7,1
8,1
8.2,1
8.6,1
8.9,1
8.5,1
8.1,1
8.5,1
8.7,1
8.7,1
8.5,1
8.8,1
8.2,1
8.1,1
8.9,1
8.9,1
8.8,1
8.5,1
8.6,1
8.9,1
8.3,1
8.7,1
8.1,1
8.9,1
8.2,1
8.4,1
8.3,1
8.1,1
8.2,1
8.1,1
8.1,1
8.2,1
8.1,1
8.2,1
8.1,1
8.8,1
8.3,1
8.2,1
8.7,1
8.9,1
8.5,1
8.7,1
8.2,1
8.6,1
8.5,1
8,1
8.6,1
9,1
8.8,1
8.5,1
8.8,1
8.3,1
8.1,1
8.3,1
8.8,1
8.4,1
8.6,1
8.9,1
8.6,1
9,1
8,1
8,1
8.7,1
8.5,1
8.3,1
8.4,1
8.9,1
8.3,1
8.2,1
8.1,1
8.6,1
8.5,1
8.2,1
8.4,1
8.5,2
9.2,1
9.5,1
9.4,1
9.4,1
9.1,1
9.5,1
10,1
9.7,1
9.8,1
9.7,1
9.7,1
9.5,1
9.1,1
9.7,1
9.1,1
9.7,1
9.9,1
9.5,1
9.6,1
9.8,1
9.9,1
9.6,1
9.6,1
9.8,1
9.4,1
9.1,1
9.2,1
9.7,1
10,1
9,1
10,1
9.7,1
9.2,1
9.1,1
9.8,1
9.6,1
9.7,1
9.7,1
9.4,1
9.9,1
9.7,1
9.3,1
9.3,1
9.4,1
9.4,1
9.6,1
9.8,1
9.7,1
9.1,1
9.6,1
9.8,1
9.9,1
9.2,1
9.8,1
9.3,1
9.3,1
9.1,1
9.4,1
9.7,1
10,1
9.7,1
9.9,1
9.4,1
9.5,1
9.6,1
9.9,1
9.6,1
9.4,1
9.2,1
9.1,1
9.3,1
9.5,1
9.6,1
9.9,1
9.6,1
9.4,1
9.6,1
9.5,1
9.3,1
9.2,2
9.7,2
9.6,2
9.4,2
9.1,2
9.8,2
9.5,2
9.6,2
9.9,2
10.5,1
10.1,1
10.1,1
10.8,1
10.3,1
10.7,1
10.3,1
10.9,1
10.5,1
10.8,1
10.6,1
10.1,1
10.8,1
10.5,1
10,1
10.9,1
11,1
10.8,1
10.2,1
10.3,1
10.4,1
10.4,1
10.9,1
10.4,1
10.7,1
10.9,1
10.4,1
10.6,1
10.9,1
10.8,1
11,1
10.3,1
10.3,1
10.3,1
10.3,1
10.8,1
10.1,1
10.6,2
10.4,2
10.9,2
10.9,2
10.4,2
10.2,2
10.8,2
11,2
10.7,2
10.3,2
10.5,2
10.5,2
10.5,2
10.8,2
10.6,2
10.6,2
11,2
10.5,2
10.6,2
10.7,3
11.1,1
11.1,1
11.6,1
11.9,1
11.5,1
11.3,1
11.4,1
11.1,1
11.7,1
11.8,1
11,1
11.3,1
11.5,2
11.4,2
11.1,2
11.2,2
11.6,2
11.3,2
11.3,2
11.4,2
11.7,2
11.4,2
11.3,2
12,2
11.4,2
11.6,2
11.6,2
11.6,2
11.5,2
11.9,2
11.9,2
11.1,2
11.2,2
11.7,3
11,3
11.7,3
11.6,3
11.7,3
11.5,3
11.6,3
11.9,3
11.5,3
11.6,3
11.1,3
11.3,3
11.2,3
11.9,3
11.8,3
11.1,3
11.7,3
12,3
11.6,3
11.1,3
11.1,3
11.5,3
11.5,3
11.9,3
11,3
11.2,3
11.3,4
11.4,4
11.1,4
12,1
12.1,2
12.9,2
12.5,2
12.7,2
12.7,2
13,2
12.1,2
12.6,3
12.5,3
12.8,3
12.2,3
13,3
12.6,3
12.8,3
12.3,3
12.5,3
12.2,3
12.3,3
12.8,3
12.1,3
12,3
12.4,3
13,3
12.8,3
12.6,4
12.9,4
12.4,4
12,4
12.9,4
12,4
12.8,4
12.4,4
12.9,4
12,4
12.4,5
13.5,2
13.3,3
13.8,3
13.7,3
13.5,3
13.3,3
13,3
13.2,3
13.9,3
13.8,3
13.1,3
13.5,3
13,3
13.5,4
13.9,4
