species,measure,units,ref,method,min.len,max.len,int,slope,quad,source,comment
Aegean Chub,TL,metric,75,EmP,70,220,-3.801,1.783,0.329,Giannetto et al. (2012),none
African Sharptooth Catfish,TL,metric,75,EmP,180,450,-3.668,1.885,0.2087,Emiroglu et al. (2018),only from Sakarya River Basin (Turkey)
Alabama Bass,TL,metric,75,RLP,100,NA,-5.598,3.2904,NA,Dicenzo et al. (1995),min.len not made clear (assumed same as Spotted Bass); same as Spotted Bass (Alabama subspecies)
Ankara Nase,TL,metric,75,EmP,70,240,-10.017,7.402,-0.971,Emiroglu et al. (2020),only from Turkey
Arctic Grayling,TL,metric,75,RLP,150,NA,-5.241,3.083,NA,Gilham et al. (2021),authors note that either RLP or EmP method may be used
Arctic Grayling,TL,metric,75,EmP,150,NA,-5.279,3.096,NA,Gilham et al. (2021),authors note that either RLP or EmP method may be used
Bighead Carp,TL,metric,50,RLP,160,NA,-4.65006,2.88934,NA,Lamer et al. (2019),none
Bigmouth Buffalo,TL,English,75,RLP,6,NA,-3.346,3.118,NA,Bister et al. (2000),none
Bigmouth Buffalo,TL,metric,75,RLP,150,NA,-5.069,3.118,NA,Bister et al. (2000),none
Bigmouth Sleepers (all),TL,metric,25,EmP,70,390,-6,3.631,-0.111,Cooney and Kwak (2010),none
Bigmouth Sleepers (all),TL,metric,50,EmP,70,390,-5.4,3.153,-0.011,Cooney and Kwak (2010),quadratic term not significant
Bigmouth Sleepers (all),TL,metric,75,EmP,70,390,-4.323,2.237,0.188,Cooney and Kwak (2010),none
Bigmouth Sleepers (lotic),TL,metric,25,EmP,40,390,-6.083,3.708,-0.128,Cooney and Kwak (2010),none
Bigmouth Sleepers (lotic),TL,metric,50,EmP,40,390,-5.574,3.302,-0.043,Cooney and Kwak (2010),quadratic term not significant
Bigmouth Sleepers (lotic),TL,metric,75,EmP,40,390,-4.933,2.764,0.075,Cooney and Kwak (2010),quadratic term not significant
Black Bullhead,TL,English,75,RLP,5,NA,-3.297,3.085,NA,Bister et al. (2000),none
Black Bullhead,TL,metric,75,RLP,130,NA,-4.974,3.085,NA,Bister et al. (2000),none
