fishID,tl,scale1,scale2,scaleC,finray1,finray2,finrayC,otolith1,otolith2,otolithC
1,345,3,3,3,3,3,3,3,3,3
2,334,4,3,4,3,3,3,3,3,3
3,348,7,5,6,3,3,3,3,3,3
4,300,4,3,4,3,2,3,3,3,3
5,330,3,3,3,4,3,4,3,3,3
6,316,4,4,4,2,3,3,6,5,6
7,508,6,7,7,6,6,6,9,10,10
8,475,4,5,5,9,9,9,11,12,11
9,340,3,3,3,2,3,3,3,4,4
10,173,1,1,1,2,1,1,1,1,1
11,252,2,2,2,2,2,2,1,1,1
12,339,4,3,4,3,3,3,2,3,3
13,317,4,3,3,3,3,3,3,3,3
14,484,5,7,6,8,8,8,13,11,11
15,467,6,6,6,7,7,7,10,11,10
16,519,6,6,6,5,7,6,10,10,10
17,545,5,7,6,12,12,12,14,14,14
18,471,5,7,6,5,6,6,14,13,13
19,538,8,6,7,7,8,8,13,13,13
20,478,5,6,6,5,7,6,7,7,7
21,493,5,8,7,6,7,7,14,14,14
22,512,6,7,7,6,6,6,9,9,9
23,438,4,5,5,4,4,4,7,6,7
24,431,4,6,5,6,6,6,6,6,6
25,491,3,2,3,6,6,6,5,6,6
26,321,4,3,4,3,3,3,2,3,3
27,322,4,3,4,2,3,3,3,3,3
28,439,5,5,5,3,4,4,6,6,6
29,422,7,4,6,4,4,4,4,4,4
30,346,3,3,3,3,3,3,2,3,3
31,329,3,4,4,3,3,3,4,4,4
32,170,1,1,1,1,1,1,1,1,1
33,355,3,3,3,3,3,3,3,3,3
35,247,6,2,4,2,2,2,4,4,4
36,326,2,2,2,3,3,3,5,4,4
37,350,3,3,3,3,3,3,3,4,4
38,315,3,3,3,3,3,3,3,3,3
39,164,3,1,2,3,3,3,1,1,1
40,165,1,1,1,3,2,2,1,1,1
41,167,1,1,1,1,1,1,2,2,2
42,166,1,1,1,1,1,1,3,2,2
44,365,3,3,3,3,3,3,4,4,4
45,500,5,5,5,4,8,6,9,7,8
46,309,5,5,5,3,3,3,2,2,2
47,354,3,2,3,4,3,4,2,2,2
48,310,3,3,3,2,2,2,3,2,3
49,167,2,1,2,1,1,1,1,1,1
50,335,3,3,3,3,3,3,3,2,3
51,443,5,5,5,6,7,7,7,8,8
52,350,3,3,3,4,4,4,4,4,4
53,268,2,2,2,2,2,2,2,2,2
54,345,2,3,3,3,3,3,3,3,3
55,329,3,3,3,3,3,3,3,3,3
56,465,5,5,5,6,6,6,8,7,8
57,419,3,5,4,4,4,4,4,4,4
58,442,5,4,5,5,6,6,6,6,6
59,437,5,5,5,5,6,5,7,7,7
60,148,1,1,1,2,1,1,2,2,2
61,135,1,1,1,1,1,1,1,1,1
62,162,1,1,1,1,1,1,2,2,2
63,179,2,1,2,1,1,1,1,1,1
64,415,4,4,4,5,4,5,4,5,5
65,420,3,4,4,4,4,4,6,5,5
66,443,5,5,5,4,4,4,3,4,4
67,387,4,6,6,3,3,3,6,4,5
