# Lake Mary Bluegill Data
#
sernum	sl	fl	tl	wght
100	126	152	157	92
110	124	150	153	88
120	118	140	149	77
130	136	163	172	130
140	191	144	150	86
150	121	149	155	90
160	105	128	134	53
170	123	151	157	90
180	123	148	155	79
190	120	148	154	83
200	138	170	177	131
210	123	150	157	87
220	125	153	158	92
230	115	140	147	71
240	127	153	160	96
250	127	153	160	107
260	116	142	148	76
270	127	150	156	90
280	141	170	178	136
290	124	148	153	86
300	105	126	132	49
310	123	148	155	92
320	180	215	226	285
330	102	124	129	44
340	132	160	167	104
350	188	220	230	286
360	184	215	222	273
370	115	139	146	84
380	130	158	163	111
390	104	128	133	55
400	118	142	150	73
410	131	157	162	102
420	163	195	207	214
430	137	164	170	125
440	180	208	215	280
450	165	203	210	248
460	121	145	152	80
470	153	188	195	188
480	118	143	149	74
490	169	201	210	236
500	119	143	149	178
510	178	212	223	273
520	162	198	204	206
530	173	210	219	262
540	165	197	204	232
550	125	152	159	111
560	154	189	196	206
570	173	210	219	256
580	178	218	225	269
590	111	136	142	68
600	130	158	163	106
610	110	138	143	70
620	100	122	127	40
630	115	138	144	67
640	106	128	134	55
650	120	144	149	75
660	132	158	164	104
670	136	166	173	132
680	135	168	173	127
690	175	215	221	277
700	158	192	199	192
710	178	212	220	255
720	172	210	218	276
730	138	165	172	139
740	126	152	158	101
750	124	151	157	103
760	129	153	161	98
770	130	157	163	114
780	112	135	141	64
790	134	160	167	100
800	110	135	141	65
810	108	130	137	60
820	45	54	57	3
830	112	135	144	64
840	105	128	134	51
850	115	140	147	68
860	113	136	142	60
870	123	148	155	79
880	100	123	128	40
890	90	110	115	27
900	107	132	137	56
910	94	115	120	37
920	150	180	186	162
930	170	205	215	234
940	104	127	131	47
950	100	123	128	48
960	115	138	145	62
970	107	130	135	50
980	180	210	215	280
990	108	144	150	72
1000	112	137	143	75
1010	103	128	133	41
1020	109	133	140	56
1030	155	182	188	171
1040	165	159	206	236
1050	44	53	55	2
1060	116	143	150	72
1070	116	141	147	64
1080	113	140	144	64
1090	105	128	133	49
