number	species	sl	tl	weight	vol.ttl	vol.mysis	vol.oi	vol.fish	num.dipter	num.pisidium
79	BLT	260	295	129	2.500	2.000	0.000	0.500	NA	NA
29	BLT	266	302	150	0.800	0.800	0.000	0.000	NA	NA
50	BLT	267	303	147	0.000	0.000	0.000	0.000	NA	NA
23	BLT	270	306	184	0.000	0.000	0.000	0.000	NA	NA
53	BLT	272	308	174	0.200	0.200	0.000	0.000	NA	NA
77	BLT	278	315	154	0.500	0.500	0.000	0.000	NA	NA
57	BLT	280	317	182	0.000	0.000	0.000	0.000	NA	NA
47	BLT	281	319	189	0.500	0.000	0.000	0.000	NA	NA
41	BLT	282	320	189	0.400	0.360	0.000	0.000	NA	NA
19	BLT	284	322	195	4.900	4.900	0.000	0.000	NA	NA
97	BLT	288	326	180	0.200	0.200	0.000	0.000	NA	NA
58	BLT	293	332	195	0.200	0.200	0.000	0.000	NA	NA
90	BLT	300	340	246	6.700	0.000	0.000	6.700	NA	NA
82	BLT	302	342	196	2.900	1.885	0.000	1.015	NA	NA
92	BLT	303	343	263	0.400	0.400	0.000	0.000	NA	NA
30	BLT	309	350	245	0.900	0.900	0.000	0.000	NA	NA
43	BLT	310	351	200	0.200	0.200	0.000	0.000	NA	NA
73	BLT	313	354	313	14.100	14.100	0.000	0.000	NA	NA
112	BLT	318	360	241	0.400	0.392	0.008	0.000	NA	NA
12	BLT	318	360	255	1.800	0.000	0.000	1.800	NA	NA
85	BLT	319	361	230	2.700	2.700	0.000	0.000	NA	NA
108	BLT	327	370	342	7.500	7.500	0.000	0.000	NA	NA
49	BLT	328	371	265	0.000	0.000	0.000	0.000	NA	NA
51	BLT	330	373	245	0.400	0.400	0.000	0.000	NA	NA
26	BLT	330	373	276	1.900	1.862	0.038	0.000	NA	NA
9	BLT	331	374	355	5.000	5.000	0.000	0.000	NA	NA
11	BLT	333	377	302	1.100	1.100	0.000	0.000	NA	NA
54	BLT	340	385	318	0.300	0.300	0.000	0.000	NA	NA
132	BLT	341	386	264	0.000	0.000	0.000	0.000	NA	NA
1	BLT	341	386	314	0.700	0.700	0.000	0.000	NA	NA
69	BLT	345	390	312	0.100	0.100	0.000	0.000	NA	NA
24	BLT	345	390	328	1.700	1.700	0.000	0.000	NA	NA
56	BLT	347	392	354	0.200	0.200	0.000	0.000	NA	NA
6	BLT	347	392	330	2.000	1.940	0.060	0.000	NA	NA
124	BLT	348	393	252	0.600	0.540	0.060	0.000	NA	NA
2	BLT	348	393	298	0.800	0.720	0.080	0.000	NA	NA
67	BLT	351	397	319	0.400	0.400	0.000	0.000	NA	NA
22	BLT	355	401	332	0.000	0.000	0.000	0.000	NA	NA
68	BLT	357	404	359	0.300	0.270	0.000	0.000	NA	NA
75	BLT	358	405	456	0.600	0.600	0.000	0.000	NA	NA
122	BLT	359	406	289	0.000	0.000	0.000	0.000	NA	NA
96	BLT	360	407	413	0.500	0.475	0.025	0.000	NA	NA
15	BLT	360	407	426	1.400	1.190	0.000	0.210	NA	NA
78	BLT	364	411	331	2.800	2.800	0.000	0.000	NA	NA
135	BLT	365	412	310	0.000	0.000	0.000	0.000	NA	NA
28	BLT	365	412	428	3.100	2.790	0.310	0.000	NA	NA
48	BLT	366	414	314	0.000	0.000	0.000	0.000	NA	NA
25	BLT	366	414	514	0.500	0.500	0.000	0.000	NA	NA
44	BLT	368	416	357	0.400	0.400	0.000	0.000	NA	NA
40	BLT	370	418	404	0.300	0.090	0.000	0.000	NA	NA
140	BLT	371	419	347	0.600	0.120	0.000	0.000	NA	NA
17	BLT	372	420	510	3.500	2.100	0.000	0.700	NA	NA
42	BLT	372	420	480	62.400	0.000	0.000	62.400	NA	NA
91	BLT	373	421	488	2.800	2.744	0.000	0.000	NA	NA
95	BLT	374	423	386	7.000	0.000	0.000	7.000	NA	NA
3	BLT	375	424	412	10.300	10.094	0.206	0.000	NA	NA
39	BLT	376	425	438	4.000	0.080	0.000	3.920	NA	NA
70	BLT	379	428	410	0.600	0.600	0.000	0.000	NA	NA
138	BLT	380	429	433	0.000	0.000	0.000	0.000	NA	NA
34	BLT	384	434	524	2.100	1.890	0.000	0.210	NA	NA
66	BLT	390	440	436	0.200	0.200	0.000	0.000	NA	NA
38	BLT	390	440	515	1.100	1.100	0.000	0.000	NA	NA
89	BLT	392	443	531	0.200	0.200	0.000	0.000	NA	NA
84	BLT	394	445	435	2.600	0.026	0.000	2.574	NA	NA
117	BLT	395	446	432	0.000	0.000	0.000	0.000	NA	NA
133	BLT	395	446	402	0.400	0.000	0.000	0.000	NA	NA
18	BLT	400	452	488	0.000	0.000	0.000	0.000	NA	NA
33	BLT	400	452	549	1.200	1.200	0.000	0.000	NA	NA
32	BLT	401	453	617	2.900	2.900	0.000	0.000	NA	NA
65	BLT	403	455	547	5.100	2.040	0.000	1.785	NA	NA
64	BLT	405	457	595	0.000	0.000	0.000	0.000	NA	NA
130	BLT	407	459	566	0.000	0.000	0.000	0.000	NA	NA
55	BLT	409	462	598	0.000	0.000	0.000	0.000	NA	NA
27	BLT	411	464	637	1.500	1.500	0.000	0.000	NA	NA
7	BLT	414	467	477	1.500	1.500	0.000	0.000	NA	NA
14	BLT	417	471	650	10.400	0.000	0.000	10.400	NA	NA
21	BLT	418	472	670	3.900	3.900	0.000	0.000	NA	NA
20	BLT	419	473	621	5.300	5.300	0.000	0.000	NA	NA
109	BLT	420	474	462	0.600	0.600	0.000	0.000	NA	NA
131	BLT	421	475	522	0.200	0.200	0.000	0.000	NA	NA
113	BLT	422	476	588	0.000	0.000	0.000	0.000	NA	NA
123	BLT	429	484	555	0.000	0.000	0.000	0.000	NA	NA
139	BLT	429	484	661	0.000	0.000	0.000	0.000	NA	NA
81	BLT	431	486	578	2.700	2.025	0.000	0.675	NA	NA
125	BLT	432	487	735	1.200	0.024	0.000	1.176	NA	NA
94	BLT	432	487	686	1.200	1.200	0.000	0.000	NA	NA
16	BLT	432	487	654	6.800	3.740	0.000	0.000	NA	NA
5	BLT	434	490	752	5.000	0.000	0.000	5.000	NA	NA
142	BLT	435	491	627	0.000	0.000	0.000	0.000	NA	NA
63	BLT	436	492	708	0.400	0.400	0.000	0.000	NA	NA
98	BLT	442	499	652	0.500	0.450	0.050	0.000	NA	NA
126	BLT	446	503	565	0.000	0.000	0.000	0.000	NA	NA
103	BLT	448	505	729	0.000	0.000	0.000	0.000	NA	NA
35	BLT	457	515	1059	0.000	0.000	0.000	0.000	NA	NA
101	BLT	460	519	859	4.000	0.000	0.000	4.000	NA	NA
46	BLT	465	524	1033	26.100	0.000	0.000	26.100	NA	NA
36	BLT	468	528	863	0.000	0.000	0.000	0.000	NA	NA
127	BLT	470	530	880	0.000	0.000	0.000	0.000	NA	NA
134	BLT	477	538	1077	0.000	0.000	0.000	0.000	NA	NA
136	BLT	480	541	907	55.200	0.000	0.000	55.200	NA	NA
99	BLT	482	543	929	0.000	0.000	0.000	0.000	NA	NA
45	BLT	483	544	1167	35.200	0.000	0.000	35.200	NA	NA
59	BLT	486	548	1202	0.000	0.000	0.000	0.000	NA	NA
137	BLT	487	549	1037	0.000	0.000	0.000	0.000	NA	NA
74	BLT	487	549	919	4.600	0.000	0.000	0.000	NA	NA
