species	units	type	ref	int	slope	quad	min.len	max.len	measure	method	comment	source
"Aegean Chub"	metric	quadratic	75	-3.801	1.783	0.329	70	220	TL	EmP	"none"	"Giannetto et al., 2012"
"Bigmouth Buffalo"	English	linear	75	-3.346	3.118	NA	6	NA	TL	RLP	"none"	"Bister et al., 2000"
"Bigmouth Buffalo"	metric	linear	75	-5.069	3.118	NA	150	NA	TL	RLP	"none"	"Bister et al., 2000"
"Bigmouth Sleepers (all)"	metric	quadratic	25	-6	3.631	-0.111	70	390	TL	EmP	"was not in Blackwell et al. (2000)"	"Cooney and Kwak, 2010"
"Bigmouth Sleepers (all)"	metric	quadratic	50	-5.4	3.153	-0.011	70	390	TL	EmP	"Quadratic term not significant; was not in Blackwell et al. (2000)"	"Cooney and Kwak, 2010"
"Bigmouth Sleepers (all)"	metric	quadratic	75	-4.323	2.237	0.188	70	390	TL	EmP	"was not in Blackwell et al. (2000)"	"Cooney and Kwak, 2010"
"Bigmouth Sleepers (lotic)"	metric	quadratic	25	-6.083	3.708	-0.128	40	390	TL	EmP	"was not in Blackwell et al. (2000)"	"Cooney and Kwak, 2010"
"Bigmouth Sleepers (lotic)"	metric	quadratic	50	-5.574	3.302	-0.043	40	390	TL	EmP	"Quadratic term not significant; was not in Blackwell et al. (2000)"	"Cooney and Kwak, 2010"
"Bigmouth Sleepers (lotic)"	metric	quadratic	75	-4.933	2.764	0.075	40	390	TL	EmP	"Quadratic term not significant; was not in Blackwell et al. (2000)"	"Cooney and Kwak, 2010"
"Black Bullhead"	English	linear	75	-3.297	3.085	NA	5	NA	TL	RLP	"none"	"Bister et al., 2000"
"Black Bullhead"	metric	linear	75	-4.974	3.085	NA	130	NA	TL	RLP	"none"	"Bister et al., 2000"
"Black Crappie"	English	linear	75	-3.576	3.345	NA	4	NA	TL	RLP	"none"	"Neumann and Murphy, 1991"
"Black Crappie"	metric	linear	75	-5.618	3.345	NA	100	NA	TL	RLP	"none"	"Neumann and Murphy, 1991"
"Blacktail Redhorse"	metric	linear	75	-5.182	3.087	NA	130	450	TL	EmP	"was not in Blackwell et al. (2000)"	"Rypel and Richter, 2008"
"Blue Catfish"	English	linear	75	-3.95	3.4	NA	6.25	NA	TL	RLP	"none"	"Muoneke and Pope, 1999"
"Blue Catfish"	metric	linear	75	-6.067	3.4	NA	160	NA	TL	RLP	"none"	"Muoneke and Pope, 1999"
"Blue Sucker"	English	quadratic	75	-3.354	2.273	0.461	9.5	31.75	TL	EmP	"was not in Blackwell et al. (2000)"	"Neely et al., 2008"
"Blue Sucker"	metric	quadratic	75	-2.98	0.977	0.461	240	809	TL	EmP	"was not in Blackwell et al. (2000)"	"Neely et al., 2008"
"Bluegill"	English	linear	75	-3.371	3.316	NA	3	NA	TL	Other	"none"	"Hillman, 1982"
"Bluegill"	metric	linear	75	-5.374	3.316	NA	80	NA	TL	Other	"none"	"Hillman, 1982"
"Bridgelip Sucker"	English	linear	75	-3.47027	3.04947	NA	5	18	TL	EmP	"was not in Blackwell et al. (2000)"	"Richter, 2007"
"Bridgelip Sucker"	metric	linear	75	-5.09721	3.04947	NA	130	460	TL	EmP	"was not in Blackwell et al. (2000)"	"Richter, 2007"
"Brook Chub"	metric	quadratic	75	-7.75	5.75	-0.66	90	210	TL	EmP	"was not in Blackwell et al. (2000)"	"Giannetto et al., 2012"
"Brook Trout"	English	linear	75	-3.483	3.103	NA	4.75	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Hyatt and Hubert 2001a"
"Brook Trout"	metric	linear	75	-5.186	3.103	NA	120	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Hyatt and Hubert 2001a"
"Brown Bullhead"	English	linear	75	-3.371	3.105	NA	5	NA	TL	RLP	"none"	"Bister et al., 2000"
"Brown Bullhead"	metric	linear	75	-5.076	3.105	NA	130	NA	TL	RLP	"none"	"Bister et al., 2000"
"Brown Trout (lentic)"	English	linear	75	-3.592	3.194	NA	5.5	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Hyatt and Hubert, 2001b"
"Brown Trout (lentic)"	metric	linear	75	-5.422	3.194	NA	140	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Hyatt and Hubert, 2001b"
"Brown Trout (lotic)"	English	linear	75	-3.366	2.96	NA	5.5	NA	TL	RLP	"none"	"Milewski and Brown, 1994"
"Brown Trout (lotic)"	metric	linear	75	-4.867	2.96	NA	140	NA	TL	RLP	"none"	"Milewski and Brown, 1994"
"Bull Trout"	English	linear	75	-3.608	3.115	NA	4.75	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Hyatt and Hubert, 2000"
"Bull Trout"	metric	linear	75	-5.327	3.115	NA	120	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Hyatt and Hubert, 2000"
"Burbot"	English	linear	75	-3.454	2.898	NA	8	NA	TL	RLP	"none"	"Fisher et al., 1996"
"Burbot"	metric	linear	75	-4.868	2.898	NA	200	NA	TL	RLP	"none"	"Fisher et al., 1996"
"Chain Pickerel"	English	linear	75	-3.923	3.243	NA	6	NA	TL	RLP	"none"	"Neumann and Flammang, 1997"
"Chain Pickerel"	metric	linear	75	-5.824	3.243	NA	150	NA	TL	RLP	"none"	"Neumann and Flammang, 1997"
"Channel Catfish"	English	linear	75	-3.829	3.294	NA	2.75	NA	TL	RLP	"none"	"Brown et al., 1995"
"Channel Catfish"	metric	linear	75	-5.8	3.294	NA	70	NA	TL	RLP	"none"	"Brown et al., 1995"
"Chinook Salmon"	English	linear	75	-3.243	2.901	NA	8	NA	TL	RLP	"none"	"Halseth et al., 1990"
"Chinook Salmon"	metric	linear	75	-4.661	2.901	NA	200	NA	TL	RLP	"none"	"Halseth et al., 1990"
"Cisco"	English	linear	75	-3.644	3.224	NA	4	NA	TL	RLP	"Same as for lake herring"	"Fisher and Fielder, 1998"
"Cisco"	metric	linear	75	-5.517	3.224	NA	100	NA	TL	RLP	"Same as for lake herring"	"Fisher and Fielder, 1998"
"Common Carp"	English	linear	75	-3.194	2.92	NA	8	NA	TL	RLP	"none"	"Bister et al., 2000"
"Common Carp"	metric	linear	75	-4.639	2.92	NA	200	NA	TL	RLP	"none"	"Bister et al., 2000"
"Cutthroat Trout (lentic)"	English	linear	75	-3.514	3.086	NA	5	NA	TL	RLP	"none"	"Kruse and Hubert, 1997"
"Cutthroat Trout (lentic)"	metric	linear	75	-5.192	3.086	NA	130	NA	TL	RLP	"none"	"Kruse and Hubert, 1997"
"Cutthroat Trout (lotic)"	English	linear	75	-3.492	3.099	NA	5	NA	TL	RLP	"none"	"Kruse and Hubert, 1997"
"Cutthroat Trout (lotic)"	metric	linear	75	-5.189	3.099	NA	130	NA	TL	RLP	"none"	"Kruse and Hubert, 1997"
"European chub"	metric	quadratic	75	-4.79	2.68	0.1	70	470	TL	EmP	"was not in Blackwell et al. (2000)"	"Giannetto et al., 2011"
"European Perch"	metric	quadratic	75	-3.1483	1.2663	0.4291	80	460	TL	EmP	"was not in Blackwell et al. (2000)"	"Giannetto et al., 2012"
"Flannelmouth Sucker"	English	linear	75	-3.527	3.068	NA	4	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Didenko et al, 2004"
"Flannelmouth Sucker"	metric	linear	75	-5.18	3.068	NA	100	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Didenko et al, 2004"
"Flathead Catfish"	English	linear	75	-3.661	3.23	NA	5	NA	TL	RLP	"none"	"Bister et al., 2000"
"Flathead Catfish"	metric	linear	75	-5.542	3.23	NA	130	NA	TL	RLP	"none"	"Bister et al., 2000"
"Freshwater Drum"	English	linear	75	-3.575	3.204	NA	4	NA	TL	RLP	"none"	"Blackwell et al., 1995"
"Freshwater Drum"	metric	linear	75	-5.419	3.204	NA	100	NA	TL	RLP	"none"	"Blackwell et al., 1995"
"Gizzard Shad"	English	linear	75	-3.58	3.17	NA	7	NA	TL	Other	"none"	"Anderson and Gutreuter, 1983"
"Gizzard Shad"	metric	linear	75	-5.376	3.17	NA	180	NA	TL	Other	"none"	"Anderson and Gutreuter, 1983"
"Golden Shiner"	English	linear	75	-3.611	3.302	NA	2	NA	TL	RLP	"none"	"Liao et al., 1995"
"Golden Shiner"	metric	linear	75	-5.593	3.302	NA	50	NA	TL	RLP	"none"	"Liao et al., 1995"
"Golden Trout"	English	linear	75	-3.473	3.041	NA	4.75	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Hyatt and Hubert, 2000"
"Golden Trout"	metric	linear	75	-5.088	3.041	NA	120	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Hyatt and Hubert, 2000"
"Green Sunfish"	English	linear	75	-3.216	3.101	NA	2.5	NA	TL	RLP	"none"	"Bister et al., 2000"
