popn	len	wt
1	455	937
1	450	937
1	409	682
1	465	1164
1	234	85
1	475	1136
1	277	170
1	503	1136
1	274	199
1	437	1136
1	272	199
1	485	1136
1	310	227
1	457	710
1	302	227
1	437	710
1	290	227
1	480	1136
1	307	256
1	478	1136
1	295	256
1	429	710
1	325	284
1	457	1108
1	297	284
1	485	1108
1	302	284
1	424	710
1	318	284
1	439	710
1	345	312
1	472	1079
1	345	341
1	470	1079
1	320	341
1	490	1079
1	348	341
1	495	1079
1	323	369
1	483	1079
1	340	369
1	493	1079
1	340	398
1	488	1079
1	345	398
1	455	1051
1	577	2613
1	472	1051
1	366	454
1	478	1051
1	366	511
1	480	1051
1	368	540
1	483	1051
1	394	540
1	460	1051
1	368	540
1	472	1051
1	447	568
1	457	1051
1	389	568
1	467	1022
1	373	568
1	470	1022
1	404	596
1	457	1022
1	371	596
1	465	1022
1	414	596
1	465	1022
1	386	596
1	462	1022
1	394	625
1	460	1022
1	561	1988
1	480	1022
1	406	625
1	470	994
1	417	625
1	472	994
1	391	625
1	457	994
1	424	625
1	462	994
1	559	1647
1	460	966
1	544	1647
1	467	966
1	396	653
1	450	966
1	541	1534
1	452	966
1	411	653
1	442	966
1	521	1505
1	462	966
1	394	682
1	457	937
1	384	682
1	432	937
1	427	682
1	417	710
1	508	1363
1	427	710
1	513	1306
1	439	909
1	508	1250
1	455	909
1	528	1221
1	472	909
1	460	1193
1	404	909
1	394	682
1	432	909
1	483	1193
1	457	909
1	267	170
1	450	909
1	315	199
1	437	909
1	302	227
1	447	880
1	302	256
1	450	880
1	318	284
1	439	880
1	310	284
1	457	880
1	325	284
1	447	880
1	333	341
1	442	852
1	338	341
1	445	852
1	363	398
1	452	852
1	353	398
1	424	852
1	348	511
1	450	852
1	384	540
1	434	852
1	378	568
1	445	852
1	439	568
1	442	852
1	577	2158
1	434	852
1	427	596
1	445	852
1	411	625
1	445	824
1	404	625
1	422	824
1	401	625
1	422	824
1	409	625
1	442	824
1	411	653
1	439	824
1	411	653
1	432	824
1	518	1420
1	424	824
1	432	682
1	432	824
1	503	1250
1	429	795
1	493	1221
1	437	795
1	411	682
1	432	795
1	282	170
1	442	795
1	292	227
1	422	795
1	325	284
1	432	795
1	300	312
1	429	795
1	340	369
1	439	795
1	368	454
1	429	795
1	325	540
1	442	795
1	450	568
1	434	795
1	394	625
1	442	795
1	551	1732
1	434	795
1	533	1619
1	419	767
1	531	1448
1	422	767
1	503	1335
1	419	767
1	498	1193
1	417	767
1	279	227
1	419	767
1	318	284
1	406	767
1	340	398
1	406	767
1	356	568
1	429	767
1	401	625
1	419	738
1	406	653
1	414	738
1	409	682
1	409	738
1	310	256
1	429	738
1	386	540
1	417	738
1	394	625
1	450	738
1	424	738
1	424	738
1	389	596
1	343	341
1	572	1420
1	429	738
1	752	4998
1	610	2442
1	770	4998
1	594	2499
1	460	1079
1	589	2499
1	472	1108
1	605	2556
1	478	1136
1	610	2556
1	508	1193
1	584	2556
1	500	1221
1	566	2670
1	500	1420
1	330	398
1	541	1420
1	610	2670
1	533	1505
1	617	2670
1	536	1534
1	625	2726
1	523	1562
1	620	2726
1	556	1647
1	622	2755
1	538	1647
1	653	2783
1	541	1704
1	632	2783
1	559	1761
1	627	2783
1	569	1988
1	615	2840
1	589	1988
1	335	341
1	589	2045
1	650	2897
1	566	2102
1	645	3010
1	620	2158
1	622	3010
1	574	2272
1	643	3010
1	597	2272
1	688	3067
1	574	2329
1	630	3067
1	592	2357
1	640	3181
1	584	2386
1	668	3351
1	602	2414
1	653	3408
1	483	1079
1	648	3465
1	495	1164
1	645	3522
1	503	1363
1	678	3522
1	536	1448
1	709	3522
1	533	1534
1	660	3578
1	574	1647
1	678	3635
1	521	1761
1	721	3692
1	546	1988
1	671	3692
1	577	2102
1	305	256
1	592	2215
1	737	3749
1	612	2300
1	676	3749
1	569	2386
1	676	3862
1	739	5453
1	732	3919
1	490	1193
1	706	3976
1	518	1534
1	729	3976
1	551	1704
1	699	4203
1	549	2045
1	701	4203
1	577	2272
1	724	4232
1	607	2386
1	721	4317
1	419	682
1	737	4317
1	579	1931
1	739	4430
1	622	2329
1	699	4487
1	434	625
1	462	1136
1	582	2102
1	724	4658
1	729	4658
2	432	738
2	419	738
2	394	568
2	396	625
2	465	937
2	310	256
2	455	909
2	307	256
2	472	909
2	318	284
2	391	568
2	323	312
2	391	596
2	333	341
2	462	909
2	351	341
2	450	909
2	330	341
2	455	880
2	345	369
2	450	880
2	373	369
2	404	596
2	351	398
2	450	880
2	345	398
2	457	880
2	356	426
2	442	852
2	363	454
2	437	852
2	368	454
2	450	852
2	363	454
2	450	852
2	363	454
2	437	852
2	373	483
2	439	852
2	381	483
2	396	596
2	551	1619
2	445	824
2	384	511
2	411	824
2	378	511
2	442	824
2	551	1420
2	424	824
2	523	1392
2	432	824
2	516	1392
2	394	596
2	384	511
2	394	596
2	378	511
2	432	795
2	523	1363
2	427	795
2	381	511
2	414	795
2	500	1306
2	432	767
2	533	1306
2	394	596
2	376	511
2	401	596
2	508	1250
2	434	767
2	498	1250
2	422	767
2	503	1193
2	429	767
2	490	1193
2	429	767
2	490	1193
2	437	767
2	384	540
2	427	767
2	470	1164
2	394	596
2	493	1136
2	406	596
2	381	540
2	404	596
2	356	540
2	419	738
2	485	1079
2	419	738
2	394	568
2	399	625
2	490	1051
2	427	738
2	394	568
2	424	738
2	478	1022
2	432	738
2	462	1022
2	424	738
2	401	568
2	414	738
2	478	994
2	437	738
2	465	994
2	427	738
2	394	568
2	429	738
2	394	568
2	401	625
2	315	256
2	427	738
2	310	312
2	422	738
2	323	341
2	432	738
2	333	341
2	432	738
2	340	398
2	411	710
2	345	398
2	427	710
2	361	454
2	417	710
2	373	454
2	417	710
2	384	483
2	406	625
2	386	511
2	437	710
2	531	1477
2	404	625
2	536	1392
2	411	710
2	511	1363
2	432	710
2	381	511
2	404	625
2	528	1306
2	406	710
2	508	1250
2	406	625
2	485	1221
2	427	682
2	508	1193
2	411	682
2	401	540
2	411	682
2	394	540
2	401	682
2	480	1108
2	419	682
2	485	1079
2	411	682
2	478	1051
2	411	682
2	465	1022
2	401	625
2	475	994
2	414	682
2	394	568
2	406	682
2	318	284
2	417	682
2	411	682
2	356	398
2	411	682
2	368	454
2	409	682
2	378	483
2	414	682
2	389	511
2	411	653
2	391	511
2	409	653
2	368	511
2	409	653
2	389	540
2	409	653
2	381	540
2	404	653
2	490	1079
2	411	653
2	396	568
2	417	653
2	396	568
2	391	653
2	318	312
2	432	653
2	429	454
2	396	625
2	559	1534
2	394	625
2	513	1335
2	396	625
2	498	1164
2	406	625
2	485	1051
2	384	625
2	305	256
2	384	625
2	528	1704
2	406	625
2	521	1250
2	422	625
2	475	1022
2	406	625
2	384	511
2	335	369
2	389	540
2	404	625
2	711	3976
2	505	1363
2	508	1363
2	411	682
2	498	1363
2	409	710
2	508	1420
2	401	710
2	533	1534
2	419	738
2	521	1590
2	732	4374
2	526	1590
2	432	767
2	579	1647
2	439	824
2	538	1647
2	432	852
2	528	1704
2	503	909
2	564	1704
2	460	966
2	528	1732
2	445	966
2	544	1846
2	452	966
2	564	1874
2	455	1022
2	556	1931
2	457	1079
2	566	1931
2	490	1136
2	584	2102
2	490	1136
2	579	2102
2	485	1164
2	564	2102
2	483	1193
2	587	2102
2	472	1278
2	566	2244
2	495	1363
2	617	2244
2	401	653
2	597	2272
2	427	710
2	605	2272
2	686	3550
2	592	2329
2	417	767
2	627	2329
2	434	880
2	612	2386
2	460	966
2	686	2442
2	467	1022
2	597	2442
2	475	1136
2	605	2471
2	475	1136
2	627	2641
2	500	1278
2	615	2670
2	495	1363
2	643	2840
2	424	738
2	635	2897
2	495	824
2	625	2897
2	450	966
2	645	2925
2	457	1136
2	663	2925
2	498	1363
2	686	2954
2	424	738
2	660	2954
2	465	1051
2	660	3039
2	414	710
2	478	1164
2	447	909
2	648	3096
2	678	3351
3	686	3587
3	737	4767
3	813	6583
3	660	3178
3	737	4086
3	635	1816
3	610	1453
3	838	7264
3	508	1271
3	686	2633
3	610	2134
3	762	4676
3	813	6265
3	762	4313
3	838	7900
3	762	5312
3	660	2406
3	737	4131
3	610	2452
3	686	3950
3	813	6719
3	483	1135
3	533	1407
3	711	4086
3	660	2906
3	762	5448
3	686	3995
3	686	4086
3	737	4767
3	762	5085
3	660	3405
3	686	3450
3	508	1271
3	838	6583
3	635	3223
3	762	5448
3	483	1589
3	508	1453
3	635	2860
3	610	2906
3	660	3042
3	686	3950
3	762	5766
3	686	3632
3	838	7809
3	737	4495
3	826	7355
3	483	1271
3	711	4131
3	737	4631
3	737	3541
3	762	5357
3	686	3814
3	711	4086
3	737	4858
3	724	4631
3	749	4131
3	762	5357
3	559	2134
3	635	2633
3	737	3587
3	737	5403
3	508	1498
3	953	10033
3	699	4812
3	787	4767
3	800	6538
3	737	4722
3	813	6492
3	749	4268
3	711	3133
3	787	6129
3	686	3405
3	495	1135
3	737	5403
3	864	9897
3	864	9716
